title_id,genre_id,order
tt12572282,4,1
tt12581396,8,1
tt12590190,8,1
tt12599088,6,1
tt12607486,8,1
tt12615742,14,1
tt12615742,23,2
tt12624570,8,1
tt12624570,27,2
tt12633314,3,1
tt12633314,4,2
tt12633314,8,3
tt12641614,4,1
tt12650716,28,1
tt12659032,8,1
tt12667936,8,1
tt12685530,25,1
tt1269458,25,1
tt12702928,8,1
tt12711298,8,1
tt12719846,8,1
tt12744866,8,1
tt12744866,16,2
tt12744866,5,3
tt12753666,2,1
tt12753666,23,2
tt1276209,4,1
tt1276209,25,2
tt12779030,8,1
tt1278834,27,1
tt12796892,8,1
tt12805888,4,1
tt12814044,6,1
tt12822712,8,1
tt12830788,7,1
tt12839216,20,1
tt12839216,21,2
tt12839216,2,3
tt12847598,8,1
tt12856042,17,1
tt12856042,3,2
tt12856042,4,3
tt12864190,8,1
tt1287229,4,1
tt12880988,28,1
tt1288954,8,1
tt1288954,5,2
tt1289766,8,1
tt1289766,27,2
tt12905718,4,1
tt12905718,25,2
tt12914100,16,1
tt12914100,26,2
tt12922760,1,1
tt12931354,1,1
tt1293949,8,1
tt1293949,5,2
tt12947606,8,1
tt12955684,4,1
tt12955684,25,2
tt12963676,25,1
tt12971812,4,1
tt12971812,25,2
tt12979988,3,1
tt12979988,4,2
tt12979988,16,3
tt1298830,2,1
tt12996422,5,1
tt1300467,8,1
tt1300467,5,2
tt13012756,12,1
tt13020856,8,1
tt13020856,20,2
tt13029042,3,1
tt13037076,8,1
tt13046016,21,1
tt13046016,2,2
tt13054046,8,1
tt13070574,3,1
tt13078894,6,1
tt13087100,8,1
tt13095294,8,1
tt13103456,10,1
tt13103456,2,2
tt13111768,4,1
tt1311983,8,1
tt1311983,5,2
tt1312789,4,1
tt13135806,4,1
tt13135806,10,2
tt13144054,25,1
tt13152254,2,1
tt13152254,23,2
tt13160310,4,1
tt13160310,8,2
tt1316845,18,1
tt1316845,8,2
tt1316845,5,3
tt13176420,8,1
tt13176420,25,2
tt13184586,4,1
tt13184586,8,2
tt13184586,25,3
tt13201114,25,1
tt13209322,25,1
tt13217602,11,1
tt13217602,14,2
tt13217602,1,3
tt13225812,25,1
tt13234068,25,1
tt13242414,17,1
